Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,Figure,186817.8,188350.9016,6.0,7.0,1533.1016000000236
Anonymous 14-11-22 09h35m,Formula,188350.9016,189467.482,5.0,6.0,1116.580399999977
Anonymous 14-11-22 09h35m,SubFigure1,189467.482,191108.8763,7.0,5.0,1641.3943000000145
Anonymous 14-11-22 09h35m,Figure,189467.482,199482.99,36.0,42.0,10015.508000000002
Anonymous 14-11-22 09h35m,SubFigure2,191475.5258,191842.1168,1.0,0.0,366.5909999999858
Anonymous 14-11-22 09h35m,SubFigure2,191858.8044,192492.0473,1.0,0.0,633.242900000012
Anonymous 14-11-22 09h35m,SubFigure1,192517.0479,196024.9994,12.0,13.0,3507.9514999999956
Anonymous 14-11-22 09h35m,SubFigure1,196041.6946,198141.4076,9.0,13.0,2099.713000000018
Anonymous 14-11-22 09h35m,SubFigure2,198183.1215,199482.99,5.0,6.0,1299.8684999999823
Anonymous 14-11-22 09h35m,Figure,199749.6019,205415.601,18.0,25.0,5665.999099999986
Anonymous 14-11-22 09h35m,SubFigure2,199766.2326,199999.5659,1.0,0.0,233.33329999999842
Anonymous 14-11-22 09h35m,SubFigure2,200057.8682,202115.9686,6.0,8.0,2058.1003999999957
Anonymous 14-11-22 09h35m,SubFigure1,202115.9686,203032.5777,4.0,4.0,916.6091000000015
Anonymous 14-11-22 09h35m,SubFigure2,203032.5777,204815.6686,5.0,5.0,1783.0909000000102
Anonymous 14-11-22 09h35m,SubFigure2,204849.0036,205207.3909,2.0,1.0,358.38730000000214
Anonymous 14-11-22 09h35m,SubFigure2,205273.9942,205290.6313,0.0,1.0,16.637100000021746
Anonymous 14-11-22 09h35m,SubFigure2,205482.3162,205715.5691,1.0,1.0,233.25289999999222
Anonymous 14-11-22 09h35m,Figure,205482.3162,219980.691,42.0,76.0,14498.37479999999
Anonymous 14-11-22 09h35m,SubFigure2,205823.9132,205832.2245,0.0,1.0,8.31130000000121
Anonymous 14-11-22 09h35m,SubFigure2,205898.8839,206773.7985,3.0,6.0,874.9146000000183
Anonymous 14-11-22 09h35m,SubFigure3,206773.7985,207765.3422,2.0,1.0,991.5437000000093
Anonymous 14-11-22 09h35m,SubFigure2,207765.3422,216256.0907,22.0,41.0,8490.748499999987
Anonymous 14-11-22 09h35m,SubFigure3,216372.7496,216381.0822,0.0,1.0,8.332599999994272
Anonymous 14-11-22 09h35m,SubFigure3,216489.3791,216797.6789,1.0,2.0,308.29980000000796
Anonymous 14-11-22 09h35m,SubFigure2,216797.6789,219772.375,11.0,18.0,2974.696100000001
Anonymous 14-11-22 09h35m,Text_Area,219980.691,221255.5345,5.0,12.0,1274.8435000000172
Anonymous 14-11-22 09h35m,Paragraph4,220113.9983,220372.2955,1.0,5.0,258.2972000000009
Anonymous 14-11-22 09h35m,Paragraph4,220463.9771,220488.9659,0.0,1.0,24.988800000021
Anonymous 14-11-22 09h35m,Paragraph5,220630.6105,221188.9097,2.0,2.0,558.2991999999795
Anonymous 14-11-22 09h35m,Figure,221272.1909,222722.0498,5.0,9.0,1449.858900000021
Anonymous 14-11-22 09h35m,SubFigure2,221297.1891,222722.0498,5.0,8.0,1424.8607000000193
Anonymous 14-11-22 09h35m,Paragraph5,222905.4213,224321.8923,4.0,4.0,1416.4710000000196
Anonymous 14-11-22 09h35m,Text_Area,222905.4213,224630.1471,5.0,8.0,1724.7258000000147
Anonymous 14-11-22 09h35m,Paragraph4,224346.8828,224630.1471,1.0,3.0,283.2643000000098
Anonymous 14-11-22 09h35m,Figure,224646.8132,226221.7057,7.0,11.0,1574.8924999999872
Anonymous 14-11-22 09h35m,SubFigure2,224755.1338,224988.4617,2.0,2.0,233.32790000000386
Anonymous 14-11-22 09h35m,SubFigure1,224988.4617,225130.106,1.0,1.0,141.64429999998538
Anonymous 14-11-22 09h35m,SubFigure2,225155.1294,226029.9928,3.0,5.0,874.863400000002
Anonymous 14-11-22 09h35m,SubFigure1,226054.9914,226221.7057,1.0,0.0,166.71429999999236
Anonymous 14-11-22 09h35m,Paragraph4,226221.7057,226404.9474,1.0,1.0,183.24170000001322
Anonymous 14-11-22 09h35m,Text_Area,226221.7057,231679.4025,17.0,20.0,5457.696800000005
Anonymous 14-11-22 09h35m,Paragraph3,226638.2558,231571.0649,15.0,17.0,4932.809099999984
Anonymous 14-11-22 09h35m,SubFigure2,231704.4165,231929.3697,2.0,4.0,224.95320000001811
Anonymous 14-11-22 09h35m,Figure,231704.4165,232695.9263,5.0,7.0,991.5097999999998
Anonymous 14-11-22 09h35m,SubFigure1,231979.3615,232695.9263,3.0,2.0,716.5647999999928
Anonymous 14-11-22 09h35m,Formula,232754.2464,233279.2271,2.0,2.0,524.9806999999855
Anonymous 14-11-22 09h35m,Text_Area,233287.5531,236395.5426,12.0,11.0,3107.989499999996
Anonymous 14-11-22 09h35m,Paragraph3,233304.1851,233795.8047,2.0,1.0,491.61960000000545
Anonymous 14-11-22 09h35m,Paragraph1,233845.837,234579.0732,3.0,2.0,733.2362000000139
Anonymous 14-11-22 09h35m,Paragraph2,234579.0732,236395.5426,7.0,6.0,1816.4693999999727
Anonymous 14-11-22 09h35m,SubFigure2,236453.8416,237587.0497,4.0,4.0,1133.208099999989
Anonymous 14-11-22 09h35m,Figure,236453.8416,237587.0497,4.0,4.0,1133.208099999989
Anonymous 14-11-22 09h35m,Formula,237603.7107,237737.0419,1.0,0.0,133.3312000000151
Anonymous 14-11-22 09h35m,Paragraph4,237803.7186,240028.4409,8.0,9.0,2224.722299999994
